# CASF-2016 Scoring Analysis
# Score Type: cnnaffinity
# Minimization: ENABLED
# Complexes Processed: 285
#
# Code	ki_String	pki	CNNAFFINITY
4llx	Ki=1300uM	2.8861	4.3423
5c28	Ki=2.2uM	5.6576	5.0746
3uuo	Ki=11nM	7.9586	6.9780
3ui7	Ki=1nM	9.0000	7.1997
5c2h	Ki=8.2pM	11.0862	7.9399
2v00	Kd=0.22mM	3.6576	5.3407
3wz8	Ki=1.5uM	5.8239	6.8398
3pww	Ki=48nM	7.3188	8.1198
3prs	Ki=15nM	7.8239	8.7314
3uri	Ki=1nM	9.0000	8.3337
4m0z	Kd=6.4uM	5.1938	7.1720
4m0y	Kd=0.35uM	6.4559	6.1025
3qgy	Ki=16nM	7.7959	7.5369
4qd6	Ki=2.3nM	8.6383	6.9523
4rfm	Ki=90pM	10.0458	7.5851
4cr9	Ki=80uM	4.0969	4.9482
4cra	Ki=0.06uM	7.2218	7.4190
4x6p	Ki=5nM	8.3010	8.3307
4crc	Ki=0.0019uM	8.7212	8.0480
4ty7	Ki=0.3nM	9.5229	7.7470
5aba	Kd=1040uM	2.9830	5.2565
5a7b	Kd=271uM	3.5670	5.7473
4agn	Kd=107uM	3.9706	5.5618
4agp	Kd=20.6uM	4.6861	5.9364
4agq	Kd=9.7uM	5.0132	6.0654
3bgz	Ki=0.55uM	6.2596	7.1799
3jya	Ki=0.1301uM	6.8857	6.6570
2c3i	Kd=25nM	7.6021	7.1999
4k18	Ki=1.1nM	8.9586	7.9348
5dwr	Ki=6pM	11.2218	8.7286
3mss	Kd=22uM	4.6576	4.6060
3k5v	Kd=0.5uM	6.3010	6.2805
3pyy	Kd=137nM	6.8633	6.1841
2v7a	Kd=0.005uM	8.3010	7.8077
4twp	Ki=100pM	10.0000	7.7277
3wtj	Kd=0.297uM	6.5272	7.2072
3zdg	Ki=79nM	7.1024	6.4372
3u8k	Ki=2.2nM	8.6576	7.5785
4qac	Kd=0.4nM	9.3979	7.6321
3u8n	Ki=0.067nM	10.1739	8.2191
