# CASF-2016 Scoring Analysis
# Score Type: cnnaffinity
# Minimization: DISABLED
# Complexes Processed: 285
#
# Code	ki_String	pki	CNNAFFINITY
4llx	Ki=1300uM	2.8861	4.3486
5c28	Ki=2.2uM	5.6576	4.9864
3uuo	Ki=11nM	7.9586	6.9078
3ui7	Ki=1nM	9.0000	7.2656
5c2h	Ki=8.2pM	11.0862	7.8254
2v00	Kd=0.22mM	3.6576	5.3541
3wz8	Ki=1.5uM	5.8239	6.7961
3pww	Ki=48nM	7.3188	8.2370
3prs	Ki=15nM	7.8239	8.7755
3uri	Ki=1nM	9.0000	8.2679
4m0z	Kd=6.4uM	5.1938	7.0521
4m0y	Kd=0.35uM	6.4559	6.1879
3qgy	Ki=16nM	7.7959	7.5309
4qd6	Ki=2.3nM	8.6383	6.4679
4rfm	Ki=90pM	10.0458	7.6175
4cr9	Ki=80uM	4.0969	4.8990
4cra	Ki=0.06uM	7.2218	7.4232
4x6p	Ki=5nM	8.3010	8.2967
4crc	Ki=0.0019uM	8.7212	8.0417
4ty7	Ki=0.3nM	9.5229	7.8359
5aba	Kd=1040uM	2.9830	5.1678
5a7b	Kd=271uM	3.5670	5.6579
4agn	Kd=107uM	3.9706	5.3950
4agp	Kd=20.6uM	4.6861	5.9325
4agq	Kd=9.7uM	5.0132	6.0086
3bgz	Ki=0.55uM	6.2596	7.2661
3jya	Ki=0.1301uM	6.8857	6.7704
2c3i	Kd=25nM	7.6021	7.1166
4k18	Ki=1.1nM	8.9586	7.5336
5dwr	Ki=6pM	11.2218	8.6838
3mss	Kd=22uM	4.6576	4.4551
3k5v	Kd=0.5uM	6.3010	6.2861
3pyy	Kd=137nM	6.8633	6.1441
2v7a	Kd=0.005uM	8.3010	7.8445
4twp	Ki=100pM	10.0000	7.3723
3wtj	Kd=0.297uM	6.5272	7.1921
3zdg	Ki=79nM	7.1024	6.4083
3u8k	Ki=2.2nM	8.6576	7.5159
4qac	Kd=0.4nM	9.3979	7.7159
3u8n	Ki=0.067nM	10.1739	8.1755
1a30	Ki=50uM	4.3010	6.1208
2qnq	Ki=0.77uM	6.1135	8.6597
1g2k	Ki=11nM	7.9586	9.0335
1eby	Ki=0.20nM	9.6990	8.7026
3o9i	Ki=1.5pM	11.8239	9.4098
4lzs	Kd=16uM	4.7959	4.9618
3u5j	Kd=2.46uM	5.6091	6.0700
4wiv	Kd=550nM	6.2596	6.1891
4ogj	Kd=164nM	6.7852	6.8779
3p5o	Kd=50.5nM	7.2967	6.9847
1ps3	Ki=5.2mM	2.2840	5.5191
3dx1	Ki=265uM	3.5768	4.8965
3d4z	Ki=13uM	4.8861	5.5497
3dx2	Ki=150nM	6.8239	5.6935
3ejr	Ki=2.7nM	8.5686	6.9906
3l7b	Ki=4.01mM	2.3969	4.8735
4eky	Ki=303.0uM	3.5186	6.3206
3g2n	Ki=81uM	4.0915	5.4351
3syr	Ki=7.9uM	5.1024	5.9742
3ebp	Ki=1.24uM	5.9066	5.6846
2w66	Ki=89uM	4.0506	6.0825
2w4x	Kd=14uM	4.8539	4.7278
2wca	Ki=2.5uM	5.6021	6.0415
2xj7	Ki=220nM	6.6576	6.3409
2vvn	Kd=50nM	7.3010	6.3228
3aru	Kd=600uM	3.2218	4.8088
3arv	Kd=2.3uM	5.6383	5.3326
3ary	Kd=1.0uM	6.0000	4.7785
3arq	Kd=0.4uM	6.3979	5.5769
3arp	Kd=0.07uM	7.1549	5.9840
4ih5	Kd=78uM	4.1079	5.0337
4ih7	Kd=5.8uM	5.2366	5.5288
3cj4	Kd=0.31uM	6.5086	5.9769
4eo8	Kd=7nM	8.1549	6.7694
3gnw	Kd=0.79nM	9.1024	8.2257
1gpk	Ki=4.3uM	5.3665	6.7294
1gpn	Ki=0.334uM	6.4763	6.9425
1h23	Ki=4.5nM	8.3468	7.9754
1h22	Ki=0.8nM	9.0969	7.8784
1e66	Ki=0.13nM	9.8861	7.7608
3f3a	Ki=64.8uM	4.1884	5.7161
3f3c	Ki=950nM	6.0223	5.7647
4mme	Kd=318nM	6.4976	6.2893
3f3d	Kd=69nM	7.1612	5.6423
3f3e	Kd=20nM	7.6990	5.5465
2wbg	Ki=35.2uM	4.4535	6.6878
2cbv	Kd=3.3uM	5.4815	5.3689
2j78	Kd=384nM	6.4157	5.8899
2j7h	Kd=65nM	7.1871	5.3816
2cet	Kd=9.6nM	8.0177	7.4540
3udh	Kd=1.4mM	2.8539	5.1877
3rsx	Kd=38.8uM	4.4112	5.2124
4djv	Ki=0.19uM	6.7212	7.0158
2vkm	Ki=1.8nM	8.7447	8.1628
4gid	Ki=0.017nM	10.7696	8.4580
4jfs	Ki=5.4uM	5.2676	5.7752
4j28	Ki=2.0uM	5.6990	6.0969
2wvt	Kd=755nM	6.1221	5.4183
2xii	Kd=63.3nM	7.1986	6.9297
4pcs	Ki=14nM	7.8539	5.9391
3rr4	Ki=28.05uM	4.5521	6.2351
1s38	Ki=7.0uM	5.1549	5.8551
1r5y	Ki=0.35uM	6.4559	5.7627
3gc5	Ki=55nM	7.2596	7.4500
3ge7	Ki=2nM	8.6990	7.8055
4dli	Kd=2.40uM	5.6198	6.5143
2zb1	Kd=0.48uM	6.3188	7.2978
4f9w	Ki=114nM	6.9431	7.5093
3e92	Ki=10nM	8.0000	7.3808
3e93	Ki=1.4nM	8.8539	7.7373
4owm	Ki=1090uM	2.9626	3.5340
3twp	Ki=119uM	3.9245	2.8705
3r88	Ki=15uM	4.8239	3.7849
4gkm	Ki=6.8uM	5.1675	4.9933
3qqs	Ki=1.5uM	5.8239	4.8204
3gv9	Ki=7.5mM	2.1249	4.2839
3gr2	Ki=3mM	2.5229	3.8006
4kz6	Ki=0.8mM	3.0969	4.8564
4jxs	Ki=18uM	4.7447	5.4683
2r9w	Ki=8uM	5.0969	5.7162
2hb1	Ki=160uM	3.7959	4.4098
1bzc	Ki=12uM	4.9208	5.4284
2qbr	Ki=0.47uM	6.3279	6.0104
2qbq	Ki=0.036uM	7.4437	6.4117
2qbp	Ki=0.004uM	8.3979	6.4937
1q8t	Kd=17.5uM	4.7570	6.3900
1ydr	Ki=3.0uM	5.5229	6.7160
1q8u	Kd=1.1uM	5.9586	7.2439
1ydt	Ki=48nM	7.3188	7.7677
3ag9	Ki=9nM	8.0458	6.4801
3fcq	Ki=1.7mM	2.7696	4.3566
1z9g	Ki=2.3uM	5.6383	5.9768
1qf1	Ki=48nM	7.3188	7.3634
5tmn	Ki=9.1nM	8.0410	6.8826
4tmn	Ki=0.068nM	10.1675	7.1452
4ddk	Kd=5.13mM	2.2899	3.8846
4ddh	Kd=0.48mM	3.3188	4.8298
3ivg	Kd=50uM	4.3010	6.6587
3coz	Kd=2.7uM	5.5686	6.7654
3coy	Kd=0.96uM	6.0177	7.0696
3pxf	Kd=37uM	4.4318	5.0637
4eor	Ki=500nM	6.3010	7.6405
2xnb	Ki=149nM	6.8268	7.8773
1pxn	Ki=0.07uM	7.1549	7.2858
2fvd	Ki=3nM	8.5229	7.7598
4k77	Ki=235nM	6.6289	6.8967
4e5w	Ki=22nM	7.6576	8.0094
4ivb	Ki=1.9nM	8.7212	7.9705
4ivd	Ki=0.3nM	9.5229	7.9758
4ivc	Ki=0.1nM	10.0000	8.1647
4f09	Ki=200nM	6.6990	7.4090
4gfm	Ki=0.06uM	7.2218	6.6718
4hge	Ki=11.9nM	7.9245	7.5825
4e6q	Ki=4.4nM	8.3565	7.6188
4jia	Ki=0.6nM	9.2218	7.2044
2brb	Ki=13.7uM	4.8633	6.8620
2br1	Ki=7.2uM	5.1427	7.2365
3jvr	Ki=1.89uM	5.7235	5.5594
3jvs	Kd=0.29uM	6.5376	5.5856
1nvq	Ki=5.6nM	8.2518	8.0801
3acw	Ki=17.5uM	4.7570	6.6662
4ea2	Ki=0.36uM	6.4437	7.4887
2zcr	Ki=135nM	6.8697	6.6050
2zy1	Ki=0.04uM	7.3979	6.5109
2zcq	Ki=1.5nM	8.8239	6.4117
1bcu	Kd=0.53mM	3.2757	5.1617
3bv9	Ki=4.4uM	5.3565	7.9087
1oyt	Ki=0.057uM	7.2441	7.2603
2zda	Ki=4nM	8.3979	7.4008
3utu	Ki=0.012nM	10.9208	8.6689
3u9q	Ki=41.7uM	4.3799	5.1048
2yfe	Ki=0.236uM	6.6271	6.5150
3fur	Ki=10nM	8.0000	8.2499
3b1m	Ki=3.3nM	8.4815	7.1556
2p4y	Ki=1nM	9.0000	8.2473
3uo4	Kd=299nM	6.5243	7.3983
3up2	Kd=40nM	7.3979	7.5954
3e5a	Ki=5.9nM	8.2291	7.3953
2wtv	Ki=1.8nM	8.7447	8.3769
3myg	Kd=0.02nM	10.6990	7.3889
3kgp	Ki=2.68mM	2.5719	4.0701
1c5z	Ki=97uM	4.0132	4.3667
1o5b	Ki=1.7uM	5.7696	5.4887
1owh	Ki=40nM	7.3979	6.0522
1sqa	Ki=0.62nM	9.2076	7.0979
4jsz	Ki=5000uM	2.3010	2.9264
3kwa	Ki=84uM	4.0757	4.4023
2weg	Kd=314nM	6.5031	6.1470
3ryj	Kd=16nM	7.7959	6.6237
3dd0	Ki=1nM	9.0000	6.8627
2xdl	Kd=790uM	3.1024	5.5141
3b27	Kd=6.9uM	5.1612	5.6635
1yc1	Kd=680nM	6.1675	6.7254
3rlr	Ki=30nM	7.5229	7.3003
2yki	Kd=0.35nM	9.4559	8.3695
1z95	Ki=76nM	7.1192	7.8340
3b68	Ki=4nM	8.3979	7.6792
3b5r	Ki=1.7nM	8.7696	7.9282
3b65	Ki=0.54nM	9.2676	7.7169
3g0w	Ki=0.3nM	9.5229	8.1377
4u4s	Kd=1200uM	2.9208	4.8524
1p1q	Kd=12.8uM	4.8928	5.8832
1syi	Ki=3590nM	5.4449	6.8268
1p1n	Kd=0.16uM	6.7959	5.8353
2al5	Ki=4nM	8.3979	6.5047
3g2z	Ki=4.4mM	2.3565	3.9988
3g31	Ki=1.3mM	2.8861	3.8517
4de2	Ki=76.0uM	4.1192	5.2258
4de3	Ki=3.0uM	5.5229	5.5143
4de1	Ki=1.1uM	5.9586	5.4556
1vso	Ki=18.98uM	4.7217	5.7363
4dld	Ki=1.5uM	5.8239	6.4232
3gbb	Ki=126nM	6.8996	6.5221
3fv2	Ki=7.7nM	8.1135	6.6239
3fv1	Ki=0.5nM	9.3010	7.0493
4mgd	Kd=20.19uM	4.6949	7.9071
2qe4	Ki=11.0nM	7.9586	7.6517
1qkt	Kd=0.92nM	9.0362	7.3964
2pog	Ki=0.29nM	9.5376	6.8269
2p15	Kd=50pM	10.3010	9.3092
2y5h	Ki=1620nM	5.7905	7.7345
1lpg	Ki=82nM	7.0862	7.4191
2xbv	Kd=3.7nM	8.4318	8.1019
1z6e	Ki=0.19nM	9.7212	8.4923
1mq6	Ki=7pM	11.1549	8.4421
1nc3	Ki=10uM	5.0000	6.8257
1nc1	Ki=0.75uM	6.1249	7.1248
1y6r	Ki=77pM	10.1135	8.1190
4f2w	Ki=5.0pM	11.3010	8.2074
4f3c	Ki=1.5pM	11.8239	8.6727
1uto	Kd=5.32mM	2.2741	3.9479
4abg	Kd=271uM	3.5670	4.6352
3gy4	Kd=8uM	5.0969	4.4790
1k1i	Kd=264nM	6.5784	7.4656
1o3f	Ki=0.011uM	7.9586	6.0762
2yge	Kd=8.62uM	5.0645	7.5146
2fxs	Kd=0.87uM	6.0605	5.9656
2iwx	Kd=0.21uM	6.6778	6.5406
2wer	Kd=90nM	7.0458	6.2395
2vw5	Kd=3nM	8.5229	7.4805
4kzq	Kd=788nM	6.1035	6.0951
4kzu	Ki=313nM	6.5045	6.2358
4j21	Kd=39nM	7.4089	6.8061
4j3l	Kd=16nM	7.7959	7.0775
3kr8	Kd=8nM	8.0969	6.8603
2ymd	Kd=693uM	3.1593	5.9771
2wnc	Kd=479nM	6.3197	6.7500
2xys	Ki=38nM	7.4202	7.6832
2wn9	Kd=3.0nM	8.5229	6.7370
2x00	Kd=4.7pM	11.3279	8.4186
3ozt	Ki=74.9uM	4.1255	6.4348
3ozs	Ki=4645nM	5.3330	6.5074
3oe5	Ki=132nM	6.8794	6.5769
3oe4	Ki=34nM	7.4685	6.5367
3nw9	Ki=1nM	9.0000	6.8920
3ao4	Kd=8.5mM	2.0706	5.0529
3zt2	Kd=1435uM	2.8431	5.1500
3zsx	Kd=519uM	3.2848	5.6729
4cig	Kd=214uM	3.6696	5.9874
3zso	Kd=7.6uM	5.1192	6.6132
