# CASF-2016 Scoring Analysis
# Score Type: cnnscore
# Minimization: DISABLED
# Complexes Processed: 285
#
# Code	ki_String	pki	CNNSCORE
4llx	Ki=1300uM	2.8861	0.9141
5c28	Ki=2.2uM	5.6576	0.6708
3uuo	Ki=11nM	7.9586	0.9122
3ui7	Ki=1nM	9.0000	0.9697
5c2h	Ki=8.2pM	11.0862	0.9724
2v00	Kd=0.22mM	3.6576	0.8107
3wz8	Ki=1.5uM	5.8239	0.9113
3pww	Ki=48nM	7.3188	0.7664
3prs	Ki=15nM	7.8239	0.9798
3uri	Ki=1nM	9.0000	0.9184
4m0z	Kd=6.4uM	5.1938	0.9462
4m0y	Kd=0.35uM	6.4559	0.9654
3qgy	Ki=16nM	7.7959	0.9201
4qd6	Ki=2.3nM	8.6383	0.6148
4rfm	Ki=90pM	10.0458	0.9289
4cr9	Ki=80uM	4.0969	0.9663
4cra	Ki=0.06uM	7.2218	0.9731
4x6p	Ki=5nM	8.3010	0.9607
4crc	Ki=0.0019uM	8.7212	0.9746
4ty7	Ki=0.3nM	9.5229	0.9304
5aba	Kd=1040uM	2.9830	0.8264
5a7b	Kd=271uM	3.5670	0.8258
4agn	Kd=107uM	3.9706	0.8638
4agp	Kd=20.6uM	4.6861	0.8879
4agq	Kd=9.7uM	5.0132	0.9200
3bgz	Ki=0.55uM	6.2596	0.9694
3jya	Ki=0.1301uM	6.8857	0.9072
2c3i	Kd=25nM	7.6021	0.8517
4k18	Ki=1.1nM	8.9586	0.7154
5dwr	Ki=6pM	11.2218	0.9673
3mss	Kd=22uM	4.6576	0.6798
3k5v	Kd=0.5uM	6.3010	0.9171
3pyy	Kd=137nM	6.8633	0.9308
2v7a	Kd=0.005uM	8.3010	0.9974
4twp	Ki=100pM	10.0000	0.7482
3wtj	Kd=0.297uM	6.5272	0.9672
3zdg	Ki=79nM	7.1024	0.9712
3u8k	Ki=2.2nM	8.6576	0.9855
4qac	Kd=0.4nM	9.3979	0.9032
3u8n	Ki=0.067nM	10.1739	0.9924
1a30	Ki=50uM	4.3010	0.4789
2qnq	Ki=0.77uM	6.1135	0.8286
1g2k	Ki=11nM	7.9586	0.9953
1eby	Ki=0.20nM	9.6990	0.9931
3o9i	Ki=1.5pM	11.8239	0.9950
4lzs	Kd=16uM	4.7959	0.9576
3u5j	Kd=2.46uM	5.6091	0.9193
4wiv	Kd=550nM	6.2596	0.9051
4ogj	Kd=164nM	6.7852	0.8364
3p5o	Kd=50.5nM	7.2967	0.9694
1ps3	Ki=5.2mM	2.2840	0.9820
3dx1	Ki=265uM	3.5768	0.9819
3d4z	Ki=13uM	4.8861	0.9736
3dx2	Ki=150nM	6.8239	0.9960
3ejr	Ki=2.7nM	8.5686	0.9819
3l7b	Ki=4.01mM	2.3969	0.7383
4eky	Ki=303.0uM	3.5186	0.9065
3g2n	Ki=81uM	4.0915	0.9584
3syr	Ki=7.9uM	5.1024	0.9733
3ebp	Ki=1.24uM	5.9066	0.4590
2w66	Ki=89uM	4.0506	0.9811
