# CASF-2016 Scoring Analysis
# Score Type: vina
# Minimization: DISABLED
# Complexes Processed: 285
#
# Code	ki_String	pki	VINA
4llx	Ki=1300uM	2.8861	-5.1699
5c28	Ki=2.2uM	5.6576	-5.8931
3uuo	Ki=11nM	7.9586	-7.9152
3ui7	Ki=1nM	9.0000	-7.9380
5c2h	Ki=8.2pM	11.0862	-9.6153
2v00	Kd=0.22mM	3.6576	-7.3964
3wz8	Ki=1.5uM	5.8239	-9.0042
3pww	Ki=48nM	7.3188	-11.0926
3prs	Ki=15nM	7.8239	-8.7647
3uri	Ki=1nM	9.0000	-7.2201
4m0z	Kd=6.4uM	5.1938	-10.5987
4m0y	Kd=0.35uM	6.4559	-7.2454
3qgy	Ki=16nM	7.7959	-8.5060
4qd6	Ki=2.3nM	8.6383	-6.3112
4rfm	Ki=90pM	10.0458	-11.0903
4cr9	Ki=80uM	4.0969	-6.1431
4cra	Ki=0.06uM	7.2218	-9.9129
4x6p	Ki=5nM	8.3010	-10.5120
4crc	Ki=0.0019uM	8.7212	-9.6906
4ty7	Ki=0.3nM	9.5229	-10.0270
5aba	Kd=1040uM	2.9830	-5.4444
5a7b	Kd=271uM	3.5670	-6.4729
4agn	Kd=107uM	3.9706	-5.6209
4agp	Kd=20.6uM	4.6861	-6.2403
4agq	Kd=9.7uM	5.0132	-6.4633
3bgz	Ki=0.55uM	6.2596	-10.5319
3jya	Ki=0.1301uM	6.8857	-7.4918
2c3i	Kd=25nM	7.6021	-8.4807
4k18	Ki=1.1nM	8.9586	-9.0419
5dwr	Ki=6pM	11.2218	-10.7585
3mss	Kd=22uM	4.6576	-6.0791
3k5v	Kd=0.5uM	6.3010	-8.4641
3pyy	Kd=137nM	6.8633	-8.7704
2v7a	Kd=0.005uM	8.3010	-9.5450
4twp	Ki=100pM	10.0000	-8.3087
3wtj	Kd=0.297uM	6.5272	-6.0308
3zdg	Ki=79nM	7.1024	-4.8703
3u8k	Ki=2.2nM	8.6576	-6.5343
4qac	Kd=0.4nM	9.3979	-10.7183
3u8n	Ki=0.067nM	10.1739	-6.7021
1a30	Ki=50uM	4.3010	-5.6241
2qnq	Ki=0.77uM	6.1135	-8.8850
1g2k	Ki=11nM	7.9586	-11.8849
1eby	Ki=0.20nM	9.6990	-12.5105
3o9i	Ki=1.5pM	11.8239	-9.7535
4lzs	Kd=16uM	4.7959	-6.3014
3u5j	Kd=2.46uM	5.6091	-8.7205
4wiv	Kd=550nM	6.2596	-7.6632
4ogj	Kd=164nM	6.7852	-6.4323
3p5o	Kd=50.5nM	7.2967	-8.6232
1ps3	Ki=5.2mM	2.2840	-7.7449
3dx1	Ki=265uM	3.5768	-5.8169
3d4z	Ki=13uM	4.8861	-5.8694
3dx2	Ki=150nM	6.8239	-6.1285
3ejr	Ki=2.7nM	8.5686	-8.1379
3l7b	Ki=4.01mM	2.3969	-9.1695
4eky	Ki=303.0uM	3.5186	-11.5539
3g2n	Ki=81uM	4.0915	-9.6237
3syr	Ki=7.9uM	5.1024	-10.6780
3ebp	Ki=1.24uM	5.9066	-9.6917
2w66	Ki=89uM	4.0506	-7.1351
2w4x	Kd=14uM	4.8539	-6.4350
2wca	Ki=2.5uM	5.6021	-6.5025
2xj7	Ki=220nM	6.6576	-8.9224
2vvn	Kd=50nM	7.3010	-7.2277
3aru	Kd=600uM	3.2218	-5.5248
3arv	Kd=2.3uM	5.6383	-9.5584
3ary	Kd=1.0uM	6.0000	-5.6921
3arq	Kd=0.4uM	6.3979	-9.9911
